,season,week,link
0,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/titans-@-steelers.cfm/date/09-10-09/time/2030
1,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/dolphins-@-falcons.cfm/date/09-13-09/time/1300
2,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/chiefs-@-ravens.cfm/date/09-13-09/time/1300
3,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/eagles-@-panthers.cfm/date/09-13-09/time/1300
4,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/broncos-@-bengals.cfm/date/09-13-09/time/1300
5,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/vikings-@-browns.cfm/date/09-13-09/time/1300
6,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/jets-@-texans.cfm/date/09-13-09/time/1300
7,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/jaguars-@-colts.cfm/date/09-13-09/time/1300
8,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/lions-@-saints.cfm/date/09-13-09/time/1300
9,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/cowboys-@-buccaneers.cfm/date/09-13-09/time/1300
10,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/49ers-@-cardinals.cfm/date/09-13-09/time/1615
11,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/redskins-@-giants.cfm/date/09-13-09/time/1615
12,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/rams-@-seahawks.cfm/date/09-13-09/time/1615
13,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/bears-@-packers.cfm/date/09-13-09/time/2020
14,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/bills-@-patriots.cfm/date/09-14-09/time/1900
15,2009,1,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/chargers-@-raiders.cfm/date/09-14-09/time/2215
16,2009,2,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/raiders-@-chiefs.cfm/date/09-20-09/time/1300
17,2009,2,http://www.vegasinsider.com/nfl/odds/las-vegas/line-movement/texans-@-titans.cfm/date/09-20-09/time/1300
